City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Lorengau,PG,83.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Saint-Pierre,RE,77.58,moderate rain,-21.3393,55.4781,Lindsey Hôtel
212,Bodden Town,KY,79.93,few clouds,19.2833,-81.25,Will T Place
216,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
217,Marsh Harbour,BS,77.25,clear sky,26.5412,-77.0636,Abaco Beach Resort
219,Payo,ID,75.85,overcast clouds,-3.7508,103.6372,Mess keban agung
220,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
224,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
225,Banda Aceh,ID,76.59,overcast clouds,5.5577,95.3222,Sulthan Hotel International
226,Amuntai,ID,79.39,overcast clouds,-2.4177,115.2494,Hotel Balqis
239,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
240,Lakes Entrance,AU,78.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
244,Vao,NC,77.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
251,Ugoofaaru,MV,82.04,broken clouds,5.6667,73.0,Ungoofaaru Inn
252,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
253,Port Augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
257,Kainantu,PG,75.27,overcast clouds,-6.2887,145.8655,Sylvester buku
264,Kudahuvadhoo,MV,81.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
270,Port Blair,IN,79.23,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
272,Santa Isabel Do Rio Negro,BR,75.15,light rain,-0.4139,-65.0192,Hotel GSA
277,Seddon,AU,78.03,clear sky,-37.8068,144.8916,Footscray Motor Inn
278,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
279,Bahia Blanca,AR,77.11,clear sky,-38.7196,-62.2724,Hotel Argos
281,Ulladulla,AU,79.88,clear sky,-35.35,150.4667,Sandpiper Motel
283,Tual,ID,84.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
286,Flinders,AU,84.79,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
288,Vanimo,PG,84.4,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
291,Soe,ID,78.22,overcast clouds,-9.8607,124.284,Dena Hotel
300,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
306,Los Algarrobos,PA,75.61,broken clouds,8.5,-82.4333,Waterfall Hostel
307,Sibolga,ID,79.38,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
313,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
