City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Asau,RO,46.4333,26.4,38.32,89,70,3.0,broken clouds
313,Puerto Escondido,MX,15.85,-97.0667,81.43,65,75,6.91,broken clouds
314,Brigantine,US,39.4101,-74.3646,35.02,66,1,8.05,clear sky
315,Vila,PT,42.0304,-8.1588,43.7,73,100,5.57,overcast clouds
316,Hornepayne,CA,49.2138,-84.7705,25.86,82,100,15.14,overcast clouds
317,Menzelinsk,RU,55.7271,53.1026,24.04,93,100,13.11,overcast clouds
318,Maine-Soroa,NE,13.2114,12.0241,60.93,26,66,10.22,broken clouds
319,Mstera,RU,56.3789,41.92,23.74,96,100,8.05,light snow
320,Pakala,IN,13.4667,79.1167,66.61,85,1,2.48,clear sky
321,Road Town,VG,18.4167,-64.6167,78.89,78,20,13.8,few clouds
322,Loukhi,RU,66.0764,33.0381,5.99,93,96,9.53,overcast clouds
323,Alta Floresta,BR,-9.8756,-56.0861,72.36,98,100,2.66,overcast clouds
324,Harnosand,SE,62.6323,17.9379,30.0,73,80,14.76,light snow
325,Cabedelo,BR,-6.9811,-34.8339,81.27,78,42,9.95,light rain
326,Waingapu,ID,-9.6567,120.2641,86.36,63,94,6.89,overcast clouds
327,Korla,CN,41.7597,86.1469,20.71,60,33,1.63,scattered clouds
328,Lyubim,RU,58.3625,40.6843,14.68,92,100,11.88,light snow
329,Sur,OM,22.5667,59.5289,67.84,68,69,3.8,broken clouds
330,Colesberg,ZA,-30.72,25.0972,58.75,81,100,5.28,overcast clouds
331,Moissac,FR,44.1024,1.0945,43.48,90,5,2.59,clear sky
332,Olinda,BR,-8.0089,-34.8553,82.13,74,75,8.05,broken clouds
333,Lipari,IT,38.4674,14.954,57.22,68,99,17.16,overcast clouds
334,Antofagasta,CL,-23.65,-70.4,64.13,83,96,3.76,overcast clouds
335,La Ronge,CA,55.1001,-105.2842,-9.15,70,90,11.5,light snow
336,Torbay,CA,47.6666,-52.7314,24.28,77,90,6.91,overcast clouds
337,Umm Kaddadah,SD,13.6017,26.6876,60.26,27,3,14.72,clear sky
338,Chumikan,RU,54.7183,135.315,-7.96,85,100,9.91,overcast clouds
339,Cairns,AU,-16.9167,145.7667,97.07,50,88,9.22,overcast clouds
340,Bajil,YE,15.0584,43.2851,74.23,75,46,2.68,scattered clouds
341,Kavieng,PG,-2.5744,150.7967,82.71,75,98,2.48,moderate rain
342,Murindo,CO,6.9848,-76.7544,73.87,98,84,2.73,broken clouds
343,Andros Town,BS,24.7,-77.7667,76.96,75,8,8.1,clear sky
344,Wuwei,CN,37.9281,102.6414,31.69,36,0,4.81,clear sky
345,Banjarmasin,ID,-3.3244,114.591,78.94,84,98,2.84,light rain
346,Samarai,PG,-10.6167,150.6667,83.61,71,100,8.14,overcast clouds
