City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Nayoro,JP,2021-12-19 04:44:00,44.3506,142.4578,24.39,86,100,4.0
174,San Clemente,US,2021-12-19 04:44:01,33.427,-117.612,58.1,64,1,4.0
175,Trairi,BR,2021-12-19 04:44:01,-3.2778,-39.2689,81.55,70,99,12.26
176,Khatassy,RU,2021-12-19 04:44:01,61.9036,129.6383,-50.82,97,96,2.48
177,Nakhon Thai,TH,2021-12-19 04:44:02,17.1006,100.8374,76.91,42,73,3.38
178,Port Shepstone,ZA,2021-12-19 04:44:02,-30.7414,30.455,66.45,71,21,12.39
179,Sao Sebastiao,BR,2021-12-19 04:43:15,-23.76,-45.4097,70.56,89,71,4.36
180,Panguna,PG,2021-12-19 04:44:03,-6.3164,155.4848,77.14,73,100,3.74
181,Nakapiripirit,UG,2021-12-19 04:44:03,1.9167,34.7833,73.09,55,92,4.85
182,Vila Velha,BR,2021-12-19 04:40:31,-20.3297,-40.2925,73.35,91,90,4.0
183,Upernavik,GL,2021-12-19 04:44:04,72.7868,-56.1549,24.1,69,100,3.76
184,Hope,US,2021-12-19 04:44:04,33.6671,-93.5916,44.65,77,38,7.94
185,Jamestown,US,2021-12-19 04:44:04,42.097,-79.2353,34.92,95,90,8.01
186,Ulaangom,MN,2021-12-19 04:45:05,49.9811,92.0667,-0.96,94,74,2.48
187,Atar,MR,2021-12-19 04:45:05,20.5169,-13.0499,69.78,46,100,4.99
188,Kruisfontein,ZA,2021-12-19 04:45:05,-34.0033,24.7314,63.43,74,95,5.95
189,Palana,RU,2021-12-19 04:45:05,59.1167,159.9667,4.3,87,100,2.62
190,Liberal,US,2021-12-19 04:45:06,37.0431,-100.921,21.47,53,1,10.36
191,Arraial Do Cabo,BR,2021-12-19 04:43:41,-22.9661,-42.0278,73.29,74,23,8.79
192,Naze,JP,2021-12-19 04:45:07,28.3667,129.4833,61.72,52,50,17.31
193,Cayenne,GF,2021-12-19 04:45:07,4.9333,-52.3333,81.09,86,40,4.0
194,Nakasongola,UG,2021-12-19 04:45:08,1.3089,32.4564,68.85,79,90,2.84
195,Atlantic Beach,US,2021-12-19 04:45:08,30.3344,-81.3987,71.62,93,40,6.91
196,Upata,VE,2021-12-19 04:45:08,8.0086,-62.3989,70.2,98,100,2.55
197,Namatanai,PG,2021-12-19 04:45:08,-3.6667,152.4333,81.23,78,100,13.44
198,Padang,ID,2021-12-19 04:45:09,-0.9492,100.3543,82.45,82,100,3.67
199,Maralal,KE,2021-12-19 04:45:09,1.0968,36.698,61.45,80,99,5.84
200,Nantucket,US,2021-12-19 04:45:09,41.2835,-70.0995,48.31,88,90,11.5
201,Sao Francisco De Assis,BR,2021-12-19 04:45:10,-29.5503,-55.1311,66.11,81,19,12.91
202,Kloulklubed,PW,2021-12-19 04:45:10,7.0419,134.2556,81.1,68,44,14.9
203,Gorontalo,ID,2021-12-19 04:45:10,0.5412,123.0595,85.33,75,63,2.1
204,Awjilah,LY,2021-12-19 04:45:11,29.1081,21.2869,53.29,81,95,7.56
205,Vostok,RU,2021-12-19 04:45:11,46.4856,135.8833,4.77,78,64,4.85
206,Airai,TL,2021-12-19 04:45:11,-8.9266,125.4092,73.8,66,95,0.45
207,Carnarvon,AU,2021-12-19 04:45:12,-24.8667,113.6333,78.87,61,0,21.85
208,Ambovombe,MG,2021-12-19 04:45:12,-25.1667,46.0833,70.74,58,100,12.8
209,Sao Joao Da Barra,BR,2021-12-19 04:45:12,-21.6403,-41.0511,72.27,85,68,9.46
210,Boende,CD,2021-12-19 04:45:13,-0.2167,20.8667,71.8,92,92,1.3
211,Ban Chang,TH,2021-12-19 04:45:13,12.7254,101.0553,85.86,50,0,10.36
212,Inverell,AU,2021-12-19 04:45:13,-29.7833,151.1167,91.67,40,62,5.01
213,Qiongshan,CN,2021-12-19 04:45:14,20.0058,110.3542,67.98,60,90,20.13
214,Vila Franca Do Campo,PT,2021-12-19 04:45:14,37.7167,-25.4333,60.19,89,99,16.31
215,Saint-Pierre,RE,2021-12-19 04:45:14,-21.3393,55.4781,84.29,58,0,6.91
216,Bandarbeyla,SO,2021-12-19 04:45:15,9.4942,50.8122,78.67,70,65,15.86
217,Wattegama,LK,2021-12-19 04:45:15,6.7989,81.4808,79.72,65,97,10.78
218,Coihaique,CL,2021-12-19 04:45:15,-45.5752,-72.0662,59.61,63,5,3.44
219,San Cristobal,VE,2021-12-19 04:45:16,7.7669,-72.225,68.18,93,98,1.1
220,Tuzha,RU,2021-12-19 04:45:16,57.6062,47.936,5.41,98,92,2.68
221,La Peca,PE,2021-12-19 04:45:17,-5.6111,-78.435,68.14,89,100,2.64
222,Sorland,NO,2021-12-19 04:45:17,67.667,12.6934,41.86,79,86,33.82
223,Avarua,CK,2021-12-19 04:45:17,-21.2078,-159.775,80.65,69,40,9.22
224,Den Helder,NL,2021-12-19 04:45:17,52.9599,4.7593,46.08,95,90,13.0
225,Valle De Allende,MX,2021-12-19 04:45:18,26.9333,-105.4,51.62,65,26,6.42
226,Port Hardy,CA,2021-12-19 04:45:18,50.6996,-127.4199,41.0,100,75,2.3
227,Orangeburg,US,2021-12-19 04:45:19,33.4918,-80.8557,65.89,89,90,0.0
228,Athabasca,CA,2021-12-19 04:45:20,54.7169,-113.2854,1.22,96,100,6.42
229,Carutapera,BR,2021-12-19 04:45:20,-1.195,-46.02,78.94,86,99,7.11
230,Aykhal,RU,2021-12-19 04:45:20,66.0,111.5,-44.59,100,100,7.87
231,Bundaberg,AU,2021-12-19 04:46:20,-24.85,152.35,87.22,50,75,7.0
232,Fomento,CU,2021-12-19 04:46:21,22.1039,-79.7217,71.35,95,44,3.36
233,Atbasar,KZ,2021-12-19 04:46:21,51.8,68.3333,25.84,97,100,7.34
234,Puerto Ayora,EC,2021-12-19 04:46:21,-0.7393,-90.3518,69.55,96,79,1.01
235,Iqaluit,CA,2021-12-19 04:46:22,63.7506,-68.5145,6.53,77,90,13.0
236,Pacifica,US,2021-12-19 04:42:27,37.6138,-122.4869,47.44,84,1,1.01
237,Visby,SE,2021-12-19 04:46:22,57.6409,18.296,41.22,81,75,18.41
238,Peniche,PT,2021-12-19 04:46:23,39.3558,-9.3811,52.93,77,98,17.27
239,Nagapattinam,IN,2021-12-19 04:46:23,10.7667,79.8333,80.28,65,89,14.29
